electorate_name,electorate_type,Total_valid_party_votes,National_votes,National_share,Labour_votes,Labour_share,Green_votes,Green_share,ACT_votes,ACT_share,NZ First_votes,NZ First_share,Te Pāti Māori_votes,Te Pāti Māori_share,TOP_votes,TOP_share,Others_votes,Others_share
Napier,general,41654.017288462725,17127.142653214585,0.41118996791050566,10973.489389133212,0.26345251167374784,3538.210559559681,0.08494567458821815,4674.764472948889,0.11223216227840818,2871.4239154259044,0.06893740138375219,386.3494786509659,0.009275512731186037,631.7861118253314,0.015167977304083612,1450.850707704154,0.03483215315146772
Nelson,general,42706.0,13856.0,0.3244508968294853,12520.0,0.2931672364538941,6154.0,0.14410153140073995,4428.0,0.10368566477778299,2612.0,0.06116236594389547,343.0,0.008031658314990867,1058.0,0.024774036435161337,1735.0,0.04062660984405002
New Plymouth,general,43231.4492670912,18233.263021441137,0.42177330648959943,10454.680153210571,0.24183850204571294,3679.7791053796764,0.0851209461851253,4394.144711888353,0.10164570884254451,3138.033493018516,0.07258924311403454,618.1669606500633,0.014299487845341014,849.4372810888236,0.01964925149596461,1863.94454041406,0.04311691500304686
North Shore,general,44091.22855299399,22691.341521211103,0.5146624231680565,7691.02108496616,0.17444008519836665,5082.622506352876,0.11527898483758124,4812.057769841815,0.10914230478336567,1709.4165836582727,0.03877128552874874,215.4818872879293,0.00488734569336792,1103.696121972694,0.025032936904355235,785.5910777031419,0.01781799490752738
Northcote,general,41250.16117358098,18043.72136596646,0.4374364319938021,9616.556905017771,0.23313551873677021,5826.843055900626,0.1412609618860909,3568.8938838204867,0.08652118789905275,1738.970140235989,0.04215809355842647,309.8273121090582,0.007511186367511128,1267.8623508679784,0.03073696228035588,877.4861596626113,0.021273018299359944
Northland,general,45786.37147013604,16235.397559397632,0.35460200639468387,10088.915204161536,0.2203549103527002,3657.927133947003,0.07989384283308479,4681.586035111043,0.1022518724956497,6437.702551556313,0.14060772044554368,706.0410386163201,0.01542084620806924,565.3527849470072,0.012348033433095004,3413.449162399184,0.07455412885854289
Pakuranga,general,38784.72678076348,22599.810821529827,0.5827181638291457,6428.085043360483,0.16574306497451718,2827.079247105147,0.07289399194010951,3838.988452695672,0.09898526672555062,1469.5164611054674,0.037890314246184324,196.9170560144703,0.0050773498156045935,565.979192722436,0.014593323747406255,858.3505062299779,0.022131885742851205
Palmerston North,general,41688.5368025589,14694.76850688121,0.35250118777172756,12435.375153951009,0.29830238632899037,5105.934839962225,0.12248223542472983,3771.9415115691663,0.09048212378514095,2600.2000264295293,0.0623741433783919,707.3971035812864,0.016969190029901778,947.9847579594657,0.02274045712348061,1424.9349022250071,0.03418163717900656
Papakura,general,36177.848957541806,18082.152936763006,0.49982950056194314,8379.483292336703,0.23162689551532883,2265.4369427056004,0.06262153735714511,3386.691123625492,0.09361540845270211,1993.4036505907459,0.05510195354378478,458.55618642133913,0.01267547677757877,443.4492197103714,0.012257887807252284,1168.6756053885465,0.03230470100563445
Port Waikato,general,42399.0,21277.0,0.5018278732988986,7918.0,0.18674968749262955,2486.0,0.058633458336281516,5107.0,0.12045095403193472,3146.0,0.07419986320432086,381.0,0.008986060992004528,508.0,0.011981414656006039,1576.0,0.03717068798792424
Rangitata,general,40461.0,18167.0,0.44900027186673586,10660.0,0.26346358221497246,2351.0,0.058105336002570375,4082.0,0.10088727416524554,3010.0,0.0743926249969106,156.0,0.0038555646177800846,522.0,0.012901312374879514,1513.0,0.03739403376090556
Rangitīkei,general,45304.09589953049,18033.835774545267,0.39807520807214286,11903.149521162462,0.2627476917050973,3081.610737195712,0.06802284609567288,5297.247886027104,0.11693036804828785,4135.060524457111,0.091276481567365,588.7019143432482,0.012994885834295923,535.9913565881908,0.011831363746800798,1728.4981852113988,0.03815451595170684
Remutaka,general,42909.12460722957,13063.895050855655,0.30446509909774444,16430.809137267428,0.38293387330194395,5244.215374722634,0.12222086502832574,2544.999866848947,0.05931336968396414,2503.4914634579286,0.05834598131298915,521.1377979557038,0.012145556182171814,1189.465341673752,0.027721493606327714,1411.110574447518,0.03288712280790243
Rotorua,general,37810.24803835331,15773.344487215036,0.41718506279295264,9088.317964525357,0.24037454477622106,2956.3627392149992,0.07819206484698522,3685.316704155916,0.09747197760635855,2927.778933585443,0.0774360592480399,862.0615304621211,0.022800439945297058,654.2811796336675,0.017304911791596347,1862.784499560774,0.04926830001391866
Selwyn,general,42803.452534747885,21245.941130460353,0.496377013034366,7600.058073471262,0.17756305085439356,3776.056940136496,0.0882214562058343,5322.170862701661,0.12434390453519735,2357.0516204693854,0.05506869456862957,203.22500035441877,0.004748023070872954,1119.7000591561505,0.026159978861161896,1179.2488479981605,0.02755123989091373
